design	study_primary	phenotype_primary	dependence_type	study_secondary	cohort	model_adjustment	model_context	phenotype_secondary	variable	variants	summary	correlation	standard_error	interval_95	confidence_95_range	probability	confidence_95_low	confidence_95_high	confidence_95_not_one	confidence_95_not_zero	correlation_absolute
primary_versus_albumin_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_joint_1_albumin_imputation	female	adjust	joint	albumin_imputation	albumin_imputation	1173302	(rg: 0.0932; 95% CI: 0.038 ... 0.148)	0.0932	0.0282	0.055272	0.038 ... 0.148	0.001	0.037928	0.148472	1	1	0.0932
primary_versus_albumin_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_unadjust_albumin_imputation	female	unadjust	joint	albumin_imputation	albumin_imputation	1173302	(rg: 0.1009; 95% CI: 0.043 ... 0.158)	0.1009	0.0293	0.057428	0.043 ... 0.158	0.0006	0.043472	0.158328	1	1	0.1009
primary_versus_oestradiol_bioavailable_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_joint_1_oestradiol_bioavailable_imputation_log	female	adjust	joint	oestradiol_bioavailable_imputation_log	oestradiol_bioavailable_imputation_log	1173302	(rg: -0.0576; 95% CI: -0.156 ... 0.041)	-0.0576	0.0502	0.098392	-0.156 ... 0.041	0.251	-0.155992	0.040792	1	0	0.0576
primary_versus_oestradiol_bioavailable_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_unadjust_oestradiol_bioavailable_imputation_log	female	unadjust	joint	oestradiol_bioavailable_imputation_log	oestradiol_bioavailable_imputation_log	1173302	(rg: -0.067; 95% CI: -0.157 ... 0.023)	-0.067	0.046	0.09016	-0.157 ... 0.023	0.1452	-0.15716	0.02316	1	0	0.067
primary_versus_oestradiol_free_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_joint_1_oestradiol_free_imputation_log	female	adjust	joint	oestradiol_free_imputation_log	oestradiol_free_imputation_log	1173302	(rg: -0.0809; 95% CI: -0.194 ... 0.033)	-0.0809	0.0579	0.113484	-0.194 ... 0.033	0.1619	-0.194384	0.032584	1	0	0.0809
primary_versus_oestradiol_free_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_unadjust_oestradiol_free_imputation_log	female	unadjust	joint	oestradiol_free_imputation_log	oestradiol_free_imputation_log	1173302	(rg: -0.0899; 95% CI: -0.189 ... 0.009)	-0.0899	0.0506	0.099176	-0.189 ... 0.009	0.0755	-0.189076	0.009276	1	0	0.0899
primary_versus_oestradiol_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_joint_1_oestradiol_log	female	adjust	joint	oestradiol_log	oestradiol_priority	1173302	(rg: nan; 95% CI: nan ... nan)	nan		nan	nan ... nan						
primary_versus_oestradiol_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_unadjust_oestradiol_log	female	unadjust	joint	oestradiol_log	oestradiol_priority	1173302	(rg: nan; 95% CI: nan ... nan)	nan		nan	nan ... nan						
primary_versus_steroid_globulin_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_joint_1_steroid_globulin_imputation_log	female	adjust	joint	steroid_globulin_imputation_log	steroid_globulin_imputation_log	1173302	(rg: 0.0521; 95% CI: 0.003 ... 0.102)	0.0521	0.0253	0.049588	0.003 ... 0.102	0.0395	0.002512	0.101688	1	1	0.0521
primary_versus_steroid_globulin_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_unadjust_steroid_globulin_imputation_log	female	unadjust	joint	steroid_globulin_imputation_log	steroid_globulin_imputation_log	1173302	(rg: 0.0722; 95% CI: 0.024 ... 0.12)	0.0722	0.0245	0.04802	0.024 ... 0.12	0.0032	0.02418	0.12022	1	1	0.0722
primary_versus_testosterone_bioavailable_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_joint_1_testosterone_bioavailable_imputation_log	female	adjust	joint	testosterone_bioavailable_imputation_log	testosterone_bioavailable_imputation_log	1173302	(rg: 0.0135; 95% CI: -0.034 ... 0.061)	0.0135	0.0243	0.047628	-0.034 ... 0.061	0.5789	-0.034128	0.061128	1	0	0.0135
primary_versus_testosterone_bioavailable_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_unadjust_testosterone_bioavailable_imputation_log	female	unadjust	joint	testosterone_bioavailable_imputation_log	testosterone_bioavailable_imputation_log	1173302	(rg: -0.0101; 95% CI: -0.06 ... 0.04)	-0.0101	0.0256	0.050176	-0.06 ... 0.04	0.6915	-0.060276	0.040076	1	0	0.0101
primary_versus_testosterone_free_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_joint_1_testosterone_free_imputation_log	female	adjust	joint	testosterone_free_imputation_log	testosterone_free_imputation_log	1173302	(rg: 0.0032; 95% CI: -0.044 ... 0.051)	0.0032	0.0242	0.047432	-0.044 ... 0.051	0.8938	-0.044232	0.050632	1	0	0.0032
