design	study_primary	phenotype_primary	dependence_type	study_secondary	cohort	model_adjustment	model_context	phenotype_secondary	variable	variants	summary	correlation	standard_error	interval_95	confidence_95_range	probability	confidence_95_low	confidence_95_high	confidence_95_not_one	confidence_95_not_zero	correlation_absolute
primary_versus_albumin_linear_1	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_joint_1_albumin_imputation	female	adjust	joint	albumin_imputation	albumin_imputation	1115965	(rg: 0.0006; 95% CI: -0.051 ... 0.052)	0.0006	0.0263	0.051548	-0.051 ... 0.052	0.9818	-0.050948	0.052148	1	0	0.0006
primary_versus_albumin_linear_1	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_unadjust_albumin_imputation	female	unadjust	joint	albumin_imputation	albumin_imputation	1115965	(rg: 0.0126; 95% CI: -0.036 ... 0.061)	0.0126	0.0248	0.048608	-0.036 ... 0.061	0.6108	-0.036008	0.061208	1	0	0.0126
primary_versus_oestradiol_bioavailable_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_joint_1_oestradiol_bioavailable_imputation_log	female	adjust	joint	oestradiol_bioavailable_imputation_log	oestradiol_bioavailable_imputation_log	1115965	(rg: -0.013; 95% CI: -0.108 ... 0.082)	-0.013	0.0486	0.095256	-0.108 ... 0.082	0.7892	-0.108256	0.082256	1	0	0.013
primary_versus_oestradiol_bioavailable_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_unadjust_oestradiol_bioavailable_imputation_log	female	unadjust	joint	oestradiol_bioavailable_imputation_log	oestradiol_bioavailable_imputation_log	1115965	(rg: -0.0471; 95% CI: -0.139 ... 0.044)	-0.0471	0.0467	0.091532	-0.139 ... 0.044	0.3133	-0.138632	0.044432	1	0	0.0471
primary_versus_oestradiol_free_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_joint_1_oestradiol_free_imputation_log	female	adjust	joint	oestradiol_free_imputation_log	oestradiol_free_imputation_log	1115965	(rg: -0.0136; 95% CI: -0.127 ... 0.1)	-0.0136	0.058	0.11368	-0.127 ... 0.1	0.8153	-0.12728	0.10008	1	0	0.0136
primary_versus_oestradiol_free_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_unadjust_oestradiol_free_imputation_log	female	unadjust	joint	oestradiol_free_imputation_log	oestradiol_free_imputation_log	1115965	(rg: -0.043; 95% CI: -0.14 ... 0.054)	-0.043	0.0497	0.097412	-0.14 ... 0.054	0.3868	-0.140412	0.054412	1	0	0.043
primary_versus_oestradiol_linear_1	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_joint_1_oestradiol_log	female	adjust	joint	oestradiol_log	oestradiol_priority	1115965	(rg: nan; 95% CI: nan ... nan)	nan		nan	nan ... nan						
primary_versus_oestradiol_linear_1	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_unadjust_oestradiol_log	female	unadjust	joint	oestradiol_log	oestradiol_priority	1115965	(rg: nan; 95% CI: nan ... nan)	nan		nan	nan ... nan						
primary_versus_steroid_globulin_linear_1	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_joint_1_steroid_globulin_imputation_log	female	adjust	joint	steroid_globulin_imputation_log	steroid_globulin_imputation_log	1115965	(rg: 0.0152; 95% CI: -0.034 ... 0.064)	0.0152	0.025	0.049	-0.034 ... 0.064	0.5443	-0.0338	0.0642	1	0	0.0152
primary_versus_steroid_globulin_linear_1	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_unadjust_steroid_globulin_imputation_log	female	unadjust	joint	steroid_globulin_imputation_log	steroid_globulin_imputation_log	1115965	(rg: 0.0479; 95% CI: -0.002 ... 0.098)	0.0479	0.0254	0.049784	-0.002 ... 0.098	0.0594	-0.001884	0.097684	1	0	0.0479
primary_versus_testosterone_bioavailable_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_joint_1_testosterone_bioavailable_imputation_log	female	adjust	joint	testosterone_bioavailable_imputation_log	testosterone_bioavailable_imputation_log	1115965	(rg: 0.0105; 95% CI: -0.036 ... 0.057)	0.0105	0.0238	0.046648	-0.036 ... 0.057	0.6607	-0.036148	0.057148	1	0	0.0105
primary_versus_testosterone_bioavailable_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_unadjust_testosterone_bioavailable_imputation_log	female	unadjust	joint	testosterone_bioavailable_imputation_log	testosterone_bioavailable_imputation_log	1115965	(rg: -0.021; 95% CI: -0.069 ... 0.027)	-0.021	0.0243	0.047628	-0.069 ... 0.027	0.3875	-0.068628	0.026628	1	0	0.021
primary_versus_testosterone_free_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_joint_1_testosterone_free_imputation_log	female	adjust	joint	testosterone_free_imputation_log	testosterone_free_imputation_log	1115965	(rg: 0.0091; 95% CI: -0.038 ... 0.056)	0.0091	0.0238	0.046648	-0.038 ... 0.056	0.7023	-0.037548	0.055748	1	0	0.0091
primary_versus_testosterone_free_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_unadjust_testosterone_free_imputation_log	female	unadjust	joint	testosterone_free_imputation_log	testosterone_free_imputation_log	1115965	(rg: -0.0192; 95% CI: -0.066 ... 0.028)	-0.0192	0.0241	0.047236	-0.066 ... 0.028	0.4251	-0.066436	0.028036	1	0	0.0192
primary_versus_testosterone_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_joint_1_testosterone_imputation	female	adjust	joint	testosterone_imputation	testosterone_imputation	1115965	(rg: 0.0066; 95% CI: -0.044 ... 0.057)	0.0066	0.0259	0.050764	-0.044 ... 0.057	0.7975	-0.044164	0.057364	1	0	0.0066
primary_versus_testosterone_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_unadjust_testosterone_imputation	female	unadjust	joint	testosterone_imputation	testosterone_imputation	1115965	(rg: -0.0049; 95% CI: -0.054 ... 0.044)	-0.0049	0.025	0.049	-0.054 ... 0.044	0.8434	-0.0539	0.0441	1	0	0.0049
primary_versus_testosterone_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_joint_1_testosterone_imputation_log	female	adjust	joint	testosterone_imputation_log	testosterone_imputation_log	1115965	(rg: 0.0187; 95% CI: -0.03 ... 0.068)	0.0187	0.0249	0.048804	-0.03 ... 0.068	0.4528	-0.030104	0.067504	1	0	0.0187
primary_versus_testosterone_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_unadjust_testosterone_imputation_log	female	unadjust	joint	testosterone_imputation_log	testosterone_imputation_log	1115965	(rg: -0.0054; 95% CI: -0.055 ... 0.044)	-0.0054	0.0254	0.049784	-0.055 ... 0.044	0.8312	-0.055184	0.044384	1	0	0.0054
primary_versus_testosterone_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_joint_1_testosterone_log	female	adjust	joint	testosterone_log	testosterone_log	1115965	(rg: -0.0314; 95% CI: -0.087 ... 0.024)	-0.0314	0.0282	0.055272	-0.087 ... 0.024	0.2656	-0.086672	0.023872	1	0	0.0314
primary_versus_testosterone_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_unadjust_testosterone_log	female	unadjust	joint	testosterone_log	testosterone_log	1115965	(rg: -0.0371; 95% CI: -0.091 ... 0.016)	-0.0371	0.0273	0.053508	-0.091 ... 0.016	0.1741	-0.090608	0.016408	1	0	0.0371
primary_versus_albumin_linear_2	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_male_priority_male_joint_1_albumin_imputation	female_male_priority_male	adjust	joint	albumin_imputation	albumin_imputation	1115965	(rg: -0.009; 95% CI: -0.053 ... 0.035)	-0.009	0.0223	0.043708	-0.053 ... 0.035	0.6876	-0.052708	0.034708	1	0	0.009
primary_versus_albumin_linear_2	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_male_priority_male_unadjust_albumin_imputation	female_male_priority_male	unadjust	joint	albumin_imputation	albumin_imputation	1115965	(rg: 0.0012; 95% CI: -0.043 ... 0.045)	0.0012	0.0223	0.043708	-0.043 ... 0.045	0.9563	-0.042508	0.044908	1	0	0.0012
primary_versus_steroid_globulin_linear_2	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_male_priority_male_joint_1_steroid_globulin_imputation_log	female_male_priority_male	adjust	joint	steroid_globulin_imputation_log	steroid_globulin_imputation_log	1115965	(rg: -0.0036; 95% CI: -0.047 ... 0.04)	-0.0036	0.0222	0.043512	-0.047 ... 0.04	0.8697	-0.047112	0.039912	1	0	0.0036
primary_versus_steroid_globulin_linear_2	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_male_priority_male_unadjust_steroid_globulin_imputation_log	female_male_priority_male	unadjust	joint	steroid_globulin_imputation_log	steroid_globulin_imputation_log	1115965	(rg: 0.0227; 95% CI: -0.022 ... 0.067)	0.0227	0.0226	0.044296	-0.022 ... 0.067	0.314	-0.021596	0.066996	1	0	0.0227
primary_versus_albumin_linear_1	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_joint_1_albumin_imputation	female_menstruation_regular	adjust	joint	albumin_imputation	albumin_imputation	1115966	(rg: 0.0018; 95% CI: -0.1 ... 0.104)	0.0018	0.0519	0.101724	-0.1 ... 0.104	0.9718	-0.099924	0.103524	1	0	0.0018
primary_versus_albumin_linear_1	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_unadjust_albumin_imputation	female_menstruation_regular	unadjust	joint	albumin_imputation	albumin_imputation	1115966	(rg: 0.0106; 95% CI: -0.086 ... 0.107)	0.0106	0.0492	0.096432	-0.086 ... 0.107	0.8296	-0.085832	0.107032	1	0	0.0106
primary_versus_oestradiol_bioavailable_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_joint_1_oestradiol_bioavailable_imputation_log	female_menstruation_regular	adjust	joint	oestradiol_bioavailable_imputation_log	oestradiol_bioavailable_imputation_log	1115966	(rg: 0.1064; 95% CI: -0.167 ... 0.379)	0.1064	0.1393	0.273028	-0.167 ... 0.379	0.4448	-0.166628	0.379428	1	0	0.1064
primary_versus_oestradiol_bioavailable_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_unadjust_oestradiol_bioavailable_imputation_log	female_menstruation_regular	unadjust	joint	oestradiol_bioavailable_imputation_log	oestradiol_bioavailable_imputation_log	1115966	(rg: 0.1239; 95% CI: -0.148 ... 0.395)	0.1239	0.1385	0.27146	-0.148 ... 0.395	0.3708	-0.14756	0.39536	1	0	0.1239
primary_versus_oestradiol_free_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_joint_1_oestradiol_free_imputation_log	female_menstruation_regular	adjust	joint	oestradiol_free_imputation_log	oestradiol_free_imputation_log	1115966	(rg: 0.1174; 95% CI: -0.225 ... 0.46)	0.1174	0.1746	0.342216	-0.225 ... 0.46	0.5015	-0.224816	0.459616	1	0	0.1174
primary_versus_oestradiol_free_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_unadjust_oestradiol_free_imputation_log	female_menstruation_regular	unadjust	joint	oestradiol_free_imputation_log	oestradiol_free_imputation_log	1115966	(rg: 0.1433; 95% CI: -0.2 ... 0.486)	0.1433	0.1751	0.343196	-0.2 ... 0.486	0.413	-0.199896	0.486496	1	0	0.1433
primary_versus_oestradiol_linear_2	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_joint_1_oestradiol_imputation	female_menstruation_regular	adjust	joint	oestradiol_imputation	oestradiol_imputation	1115966	(rg: 0.0179; 95% CI: -0.215 ... 0.251)	0.0179	0.1187	0.232652	-0.215 ... 0.251	0.8798	-0.214752	0.250552	1	0	0.0179
primary_versus_oestradiol_linear_2	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_unadjust_oestradiol_imputation	female_menstruation_regular	unadjust	joint	oestradiol_imputation	oestradiol_imputation	1115966	(rg: 0.0708; 95% CI: -0.144 ... 0.285)	0.0708	0.1095	0.21462	-0.144 ... 0.285	0.5176	-0.14382	0.28542	1	0	0.0708
primary_versus_oestradiol_linear_1	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_joint_1_oestradiol_log	female_menstruation_regular	adjust	joint	oestradiol_log	oestradiol_log	1115966	(rg: 0.0136; 95% CI: -0.488 ... 0.516)	0.0136	0.2561	0.501956	-0.488 ... 0.516	0.9577	-0.488356	0.515556	1	0	0.0136
primary_versus_oestradiol_linear_1	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_unadjust_oestradiol_log	female_menstruation_regular	unadjust	joint	oestradiol_log	oestradiol_log	1115966	(rg: 0.092; 95% CI: -0.272 ... 0.456)	0.092	0.1857	0.363972	-0.272 ... 0.456	0.6202	-0.271972	0.455972	1	0	0.092
primary_versus_oestradiol_linear_2	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_joint_1_oestradiol_imputation_log	female_menstruation_regular	adjust	joint	oestradiol_imputation_log	oestradiol_priority	1115966	(rg: 0.1067; 95% CI: -0.106 ... 0.319)	0.1067	0.1085	0.21266	-0.106 ... 0.319	0.3252	-0.10596	0.31936	1	0	0.1067
primary_versus_oestradiol_linear_2	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_unadjust_oestradiol_imputation_log	female_menstruation_regular	unadjust	joint	oestradiol_imputation_log	oestradiol_priority	1115966	(rg: 0.1076; 95% CI: -0.072 ... 0.287)	0.1076	0.0915	0.17934	-0.072 ... 0.287	0.24	-0.07174	0.28694	1	0	0.1076
primary_versus_steroid_globulin_linear_1	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_joint_1_steroid_globulin_imputation_log	female_menstruation_regular	adjust	joint	steroid_globulin_imputation_log	steroid_globulin_imputation_log	1115966	(rg: 0.0804; 95% CI: -0.002 ... 0.163)	0.0804	0.0421	0.082516	-0.002 ... 0.163	0.0562	-0.002116	0.162916	1	0	0.0804
primary_versus_steroid_globulin_linear_1	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_unadjust_steroid_globulin_imputation_log	female_menstruation_regular	unadjust	joint	steroid_globulin_imputation_log	steroid_globulin_imputation_log	1115966	(rg: 0.082; 95% CI: -0.002 ... 0.166)	0.082	0.0429	0.084084	-0.002 ... 0.166	0.0561	-0.002084	0.166084	1	0	0.082
primary_versus_testosterone_bioavailable_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_joint_1_testosterone_bioavailable_imputation_log	female_menstruation_regular	adjust	joint	testosterone_bioavailable_imputation_log	testosterone_bioavailable_imputation_log	1115966	(rg: -0.0317; 95% CI: -0.123 ... 0.059)	-0.0317	0.0464	0.090944	-0.123 ... 0.059	0.4948	-0.122644	0.059244	1	0	0.0317
primary_versus_testosterone_bioavailable_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_unadjust_testosterone_bioavailable_imputation_log	female_menstruation_regular	unadjust	joint	testosterone_bioavailable_imputation_log	testosterone_bioavailable_imputation_log	1115966	(rg: -0.0309; 95% CI: -0.119 ... 0.057)	-0.0309	0.0448	0.087808	-0.119 ... 0.057	0.4901	-0.118708	0.056908	1	0	0.0309
primary_versus_testosterone_free_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_joint_1_testosterone_free_imputation_log	female_menstruation_regular	adjust	joint	testosterone_free_imputation_log	testosterone_free_imputation_log	1115966	(rg: -0.0282; 95% CI: -0.117 ... 0.06)	-0.0282	0.0451	0.088396	-0.117 ... 0.06	0.5322	-0.116596	0.060196	1	0	0.0282
primary_versus_testosterone_free_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_unadjust_testosterone_free_imputation_log	female_menstruation_regular	unadjust	joint	testosterone_free_imputation_log	testosterone_free_imputation_log	1115966	(rg: -0.0282; 95% CI: -0.112 ... 0.055)	-0.0282	0.0425	0.0833	-0.112 ... 0.055	0.5078	-0.1115	0.0551	1	0	0.0282
primary_versus_testosterone_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_joint_1_testosterone_imputation	female_menstruation_regular	adjust	joint	testosterone_imputation	testosterone_imputation	1115966	(rg: -0.0049; 95% CI: -0.105 ... 0.095)	-0.0049	0.0512	0.100352	-0.105 ... 0.095	0.924	-0.105252	0.095452	1	0	0.0049
primary_versus_testosterone_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_unadjust_testosterone_imputation	female_menstruation_regular	unadjust	joint	testosterone_imputation	testosterone_imputation	1115966	(rg: -0.0216; 95% CI: -0.118 ... 0.075)	-0.0216	0.0491	0.096236	-0.118 ... 0.075	0.6605	-0.117836	0.074636	1	0	0.0216
primary_versus_testosterone_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_joint_1_testosterone_imputation_log	female_menstruation_regular	adjust	joint	testosterone_imputation_log	testosterone_imputation_log	1115966	(rg: -0.0391; 95% CI: -0.137 ... 0.059)	-0.0391	0.0499	0.097804	-0.137 ... 0.059	0.4339	-0.136904	0.058704	1	0	0.0391
primary_versus_testosterone_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_unadjust_testosterone_imputation_log	female_menstruation_regular	unadjust	joint	testosterone_imputation_log	testosterone_imputation_log	1115966	(rg: -0.0396; 95% CI: -0.136 ... 0.057)	-0.0396	0.0494	0.096824	-0.136 ... 0.057	0.4224	-0.136424	0.057224	1	0	0.0396
primary_versus_testosterone_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_joint_1_testosterone_log	female_menstruation_regular	adjust	joint	testosterone_log	testosterone_log	1115966	(rg: 0.0044; 95% CI: -0.119 ... 0.127)	0.0044	0.0628	0.123088	-0.119 ... 0.127	0.9436	-0.118688	0.127488	1	0	0.0044
primary_versus_testosterone_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_menstruation_regular_unadjust_testosterone_log	female_menstruation_regular	unadjust	joint	testosterone_log	testosterone_log	1115966	(rg: -0.0191; 95% CI: -0.14 ... 0.102)	-0.0191	0.0619	0.121324	-0.14 ... 0.102	0.7573	-0.140424	0.102224	1	0	0.0191
primary_versus_albumin_linear_1	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_joint_1_albumin_imputation	female_perimenopause	adjust	joint	albumin_imputation	albumin_imputation	1115965	(rg: 0.0001; 95% CI: -0.109 ... 0.109)	0.0001	0.0557	0.109172	-0.109 ... 0.109	0.998	-0.109072	0.109272	1	0	0.0001
primary_versus_albumin_linear_1	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_unadjust_albumin_imputation	female_perimenopause	unadjust	joint	albumin_imputation	albumin_imputation	1115965	(rg: 0.0399; 95% CI: -0.066 ... 0.146)	0.0399	0.054	0.10584	-0.066 ... 0.146	0.4596	-0.06594	0.14574	1	0	0.0399
primary_versus_oestradiol_bioavailable_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_joint_1_oestradiol_bioavailable_imputation_log	female_perimenopause	adjust	joint	oestradiol_bioavailable_imputation_log	oestradiol_bioavailable_imputation_log	1115965	(rg: -0.055; 95% CI: -0.252 ... 0.142)	-0.055	0.1005	0.19698	-0.252 ... 0.142	0.5843	-0.25198	0.14198	1	0	0.055
primary_versus_oestradiol_bioavailable_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_unadjust_oestradiol_bioavailable_imputation_log	female_perimenopause	unadjust	joint	oestradiol_bioavailable_imputation_log	oestradiol_bioavailable_imputation_log	1115965	(rg: -0.0791; 95% CI: -0.272 ... 0.114)	-0.0791	0.0984	0.192864	-0.272 ... 0.114	0.4217	-0.271964	0.113764	1	0	0.0791
primary_versus_oestradiol_free_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_joint_1_oestradiol_free_imputation_log	female_perimenopause	adjust	joint	oestradiol_free_imputation_log	oestradiol_free_imputation_log	1115965	(rg: -0.0315; 95% CI: -0.212 ... 0.149)	-0.0315	0.0921	0.180516	-0.212 ... 0.149	0.7327	-0.212016	0.149016	1	0	0.0315
