design	study_primary	phenotype_primary	dependence_type	study_secondary	cohort	model_adjustment	model_context	phenotype_secondary	variable	variants	summary	correlation	standard_error	interval_95	confidence_95_range	probability	confidence_95_low	confidence_95_high	confidence_95_not_one	confidence_95_not_zero	correlation_absolute
primary_versus_albumin_linear_1	00000000_ripke_2022	schizophrenia	logistic	female_joint_1_albumin_imputation	female	adjust	joint	albumin_imputation	albumin_imputation	1171380	(rg: 0.0123; 95% CI: -0.032 ... 0.057)	0.0123	0.0228	0.044688	-0.032 ... 0.057	0.5914	-0.032388	0.056988	1	0	0.0123
primary_versus_albumin_linear_1	00000000_ripke_2022	schizophrenia	logistic	female_unadjust_albumin_imputation	female	unadjust	joint	albumin_imputation	albumin_imputation	1171380	(rg: 0.0407; 95% CI: -0.002 ... 0.084)	0.0407	0.0219	0.042924	-0.002 ... 0.084	0.0625	-0.002224	0.083624	1	0	0.0407
primary_versus_oestradiol_bioavailable_linear	00000000_ripke_2022	schizophrenia	logistic	female_unadjust_oestradiol_bioavailable_imputation_log	female	adjust	joint	oestradiol_bioavailable_imputation_log	oestradiol_bioavailable_imputation_log			nan		nan							
primary_versus_oestradiol_bioavailable_linear	00000000_ripke_2022	schizophrenia	logistic	female_unadjust_oestradiol_bioavailable_imputation_log	female	unadjust	joint	oestradiol_bioavailable_imputation_log	oestradiol_bioavailable_imputation_log	1171380	(rg: -0.0099; 95% CI: -0.086 ... 0.066)	-0.0099	0.0386	0.075656	-0.086 ... 0.066	0.7974	-0.085556	0.065756	1	0	0.0099
primary_versus_oestradiol_free_linear	00000000_ripke_2022	schizophrenia	logistic	female_joint_1_oestradiol_free_imputation_log	female	adjust	joint	oestradiol_free_imputation_log	oestradiol_free_imputation_log	1171380	(rg: 0.0356; 95% CI: -0.054 ... 0.126)	0.0356	0.0459	0.089964	-0.054 ... 0.126	0.4377	-0.054364	0.125564	1	0	0.0356
primary_versus_oestradiol_free_linear	00000000_ripke_2022	schizophrenia	logistic	female_unadjust_oestradiol_free_imputation_log	female	unadjust	joint	oestradiol_free_imputation_log	oestradiol_free_imputation_log	1171380	(rg: -0.0051; 95% CI: -0.086 ... 0.076)	-0.0051	0.0414	0.081144	-0.086 ... 0.076	0.9024	-0.086244	0.076044	1	0	0.0051
primary_versus_oestradiol_linear_1	00000000_ripke_2022	schizophrenia	logistic	female_joint_1_oestradiol_log	female	adjust	joint	oestradiol_log	oestradiol_priority	1171380	(rg: nan; 95% CI: nan ... nan)	nan	nan	nan	nan ... nan						
primary_versus_oestradiol_linear_1	00000000_ripke_2022	schizophrenia	logistic	female_unadjust_oestradiol_log	female	unadjust	joint	oestradiol_log	oestradiol_priority	1171380	(rg: nan; 95% CI: nan ... nan)	nan	nan	nan	nan ... nan						
primary_versus_steroid_globulin_linear_1	00000000_ripke_2022	schizophrenia	logistic	female_joint_1_steroid_globulin_imputation_log	female	adjust	joint	steroid_globulin_imputation_log	steroid_globulin_imputation_log	1171380	(rg: 0.0238; 95% CI: -0.013 ... 0.061)	0.0238	0.019	0.03724	-0.013 ... 0.061	0.21	-0.01344	0.06104	1	0	0.0238
primary_versus_steroid_globulin_linear_1	00000000_ripke_2022	schizophrenia	logistic	female_unadjust_steroid_globulin_imputation_log	female	unadjust	joint	steroid_globulin_imputation_log	steroid_globulin_imputation_log	1171380	(rg: 0.0756; 95% CI: 0.037 ... 0.114)	0.0756	0.0195	0.03822	0.037 ... 0.114	0.0001	0.03738	0.11382	1	1	0.0756
primary_versus_testosterone_bioavailable_linear	00000000_ripke_2022	schizophrenia	logistic	female_joint_1_testosterone_bioavailable_imputation_log	female	adjust	joint	testosterone_bioavailable_imputation_log	testosterone_bioavailable_imputation_log	1171380	(rg: 0.0373; 95% CI: 0.0 ... 0.074)	0.0373	0.0189	0.037044	0.0 ... 0.074	0.0481	0.000256	0.074344	1	1	0.0373
primary_versus_testosterone_bioavailable_linear	00000000_ripke_2022	schizophrenia	logistic	female_unadjust_testosterone_bioavailable_imputation_log	female	unadjust	joint	testosterone_bioavailable_imputation_log	testosterone_bioavailable_imputation_log	1171380	(rg: 0.0029; 95% CI: -0.035 ... 0.041)	0.0029	0.0192	0.037632	-0.035 ... 0.041	0.8792	-0.034732	0.040532	1	0	0.0029
primary_versus_testosterone_free_linear	00000000_ripke_2022	schizophrenia	logistic	female_joint_1_testosterone_free_imputation_log	female	adjust	joint	testosterone_free_imputation_log	testosterone_free_imputation_log	1171380	(rg: 0.037; 95% CI: 0.001 ... 0.073)	0.037	0.0184	0.036064	0.001 ... 0.073	0.0447	0.000936	0.073064	1	1	0.037
primary_versus_testosterone_free_linear	00000000_ripke_2022	schizophrenia	logistic	female_unadjust_testosterone_free_imputation_log	female	unadjust	joint	testosterone_free_imputation_log	testosterone_free_imputation_log	1171380	(rg: 0.0024; 95% CI: -0.034 ... 0.039)	0.0024	0.0186	0.036456	-0.034 ... 0.039	0.8977	-0.034056	0.038856	1	0	0.0024
primary_versus_testosterone_linear	00000000_ripke_2022	schizophrenia	logistic	female_joint_1_testosterone_imputation	female	adjust	joint	testosterone_imputation	testosterone_imputation	1171380	(rg: 0.0455; 95% CI: 0.009 ... 0.082)	0.0455	0.0188	0.036848	0.009 ... 0.082	0.0153	0.008652	0.082348	1	1	0.0455
primary_versus_testosterone_linear	00000000_ripke_2022	schizophrenia	logistic	female_unadjust_testosterone_imputation	female	unadjust	joint	testosterone_imputation	testosterone_imputation	1171380	(rg: 0.04; 95% CI: 0.003 ... 0.077)	0.04	0.0191	0.037436	0.003 ... 0.077	0.0359	0.002564	0.077436	1	1	0.04
primary_versus_testosterone_linear	00000000_ripke_2022	schizophrenia	logistic	female_joint_1_testosterone_imputation_log	female	adjust	joint	testosterone_imputation_log	testosterone_imputation_log	1171380	(rg: 0.0565; 95% CI: 0.019 ... 0.094)	0.0565	0.019	0.03724	0.019 ... 0.094	0.003	0.01926	0.09374	1	1	0.0565
primary_versus_testosterone_linear	00000000_ripke_2022	schizophrenia	logistic	female_unadjust_testosterone_imputation_log	female	unadjust	joint	testosterone_imputation_log	testosterone_imputation_log	1171380	(rg: 0.0422; 95% CI: 0.004 ... 0.081)	0.0422	0.0196	0.038416	0.004 ... 0.081	0.0313	0.003784	0.080616	1	1	0.0422
primary_versus_testosterone_linear	00000000_ripke_2022	schizophrenia	logistic	female_joint_1_testosterone_log	female	adjust	joint	testosterone_log	testosterone_log	1171380	(rg: 0.0347; 95% CI: -0.008 ... 0.077)	0.0347	0.0216	0.042336	-0.008 ... 0.077	0.1081	-0.007636	0.077036	1	0	0.0347
