phenotype_primary	design	study_primary	study_secondary	summary_error	summary_interval	variants	correlation	standard_error	interval_95	confidence_95_range	probability	confidence_95_low	confidence_95_high	confidence_95_not_one	confidence_95_not_zero	correlation_absolute	cohort	model	phenotype_secondary	interval_99	dependence_type	model_context	model_adjustment	variable
alcohol_dependence	primaries_against_34255042_schmitz_2021	30482948_walters_2018_eur_unrel_meta	34255042_schmitz_2021_female	-0.2778 (0.2103)	(rg: -0.2778; 95% CI: -0.69 ... 0.1344)	924369.0	-0.2778	0.2103	0.4121879999999999	-0.69 ... 0.1344	0.1866	-0.6899879999999999	0.1343879999999999	1.0	0.0	0.2778	female	nan	nan	0.5417328	logistic	joint	adjust	nan
alcohol_dependence	primaries_against_34255042_schmitz_2021	30482948_walters_2018_eur_unrel_meta	34255042_schmitz_2021_male	0.1455 (0.1272)	(rg: 0.1455; 95% CI: -0.1038 ... 0.3948)	924369.0	0.1455	0.1272	0.249312	-0.1038 ... 0.3948	0.2528	-0.103812	0.394812	1.0	0.0	0.1455	male	nan	nan	0.32766720000000005	logistic	joint	adjust	nan
alcohol_dependence	primaries_against_albumin_linear	30482948_walters_2018_eur_unrel_meta	female_joint_1_albumin_imputation	0.0467 (0.0643)	(rg: 0.0467; 95% CI: -0.0793 ... 0.1727)	1173184.0	0.0467	0.0643	0.126028	-0.0793 ... 0.1727	0.4679	-0.079328	0.172728	1.0	0.0	0.0467	female	joint_1	albumin_imputation	0.1656368	logistic	joint	adjust	albumin_imputation
alcohol_dependence	primaries_against_albumin_linear	30482948_walters_2018_eur_unrel_meta	female_male_priority_male_joint_1_albumin_imputation	0.0252 (0.0544)	(rg: 0.0252; 95% CI: -0.0814 ... 0.1318)	1173184.0	0.0252	0.0544	0.106624	-0.0814 ... 0.1318	0.6428	-0.081424	0.131824	1.0	0.0	0.0252	female_male	joint_1	albumin_imputation	0.1401344	logistic	joint	adjust	albumin_imputation
alcohol_dependence	primaries_against_albumin_linear	30482948_walters_2018_eur_unrel_meta	female_male_priority_male_unadjust_albumin_imputation	-0.0193 (0.0538)	(rg: -0.0193; 95% CI: -0.1247 ... 0.0861)	1173184.0	-0.0193	0.0538	0.105448	-0.1247 ... 0.0861	0.7193	-0.124748	0.086148	1.0	0.0	0.0193	female_male	unadjust	albumin_imputation	0.1385888	logistic	joint	unadjust	albumin_imputation
alcohol_dependence	primaries_against_albumin_linear	30482948_walters_2018_eur_unrel_meta	female_menstruation_regular_joint_1_albumin_imputation	0.195 (0.1174)	(rg: 0.195; 95% CI: -0.0351 ... 0.4251)	1173185.0	0.195	0.1174	0.230104	-0.0351 ... 0.4251	0.0966	-0.0351039999999999	0.425104	1.0	0.0	0.195	female_menstruation_regular	joint_1	albumin_imputation	0.30242240000000004	logistic	joint	adjust	albumin_imputation
alcohol_dependence	primaries_against_albumin_linear	30482948_walters_2018_eur_unrel_meta	female_menstruation_regular_unadjust_albumin_imputation	0.1568 (0.1121)	(rg: 0.1568; 95% CI: -0.0629 ... 0.3765)	1173185.0	0.1568	0.1121	0.219716	-0.0629 ... 0.3765	0.1617	-0.062916	0.3765159999999999	1.0	0.0	0.1568	female_menstruation_regular	unadjust	albumin_imputation	0.2887696	logistic	joint	unadjust	albumin_imputation
alcohol_dependence	primaries_against_albumin_linear	30482948_walters_2018_eur_unrel_meta	female_perimenopause_joint_1_albumin_imputation	-0.0155 (0.1207)	(rg: -0.0155; 95% CI: -0.2521 ... 0.2211)	1173184.0	-0.0155	0.1207	0.236572	-0.2521 ... 0.2211	0.8976	-0.252072	0.221072	1.0	0.0	0.0155	female_perimenopause	joint_1	albumin_imputation	0.3109232	logistic	joint	adjust	albumin_imputation
alcohol_dependence	primaries_against_albumin_linear	30482948_walters_2018_eur_unrel_meta	female_perimenopause_unadjust_albumin_imputation	-0.0525 (0.1181)	(rg: -0.0525; 95% CI: -0.284 ... 0.179)	1173184.0	-0.0525	0.1181	0.231476	-0.284 ... 0.179	0.6563	-0.283976	0.178976	1.0	0.0	0.0525	female_perimenopause	unadjust	albumin_imputation	0.3042256	logistic	joint	unadjust	albumin_imputation
alcohol_dependence	primaries_against_albumin_linear	30482948_walters_2018_eur_unrel_meta	female_postmenopause_joint_1_albumin_imputation	0.0124 (0.0666)	(rg: 0.0124; 95% CI: -0.1181 ... 0.1429)	1173184.0	0.0124	0.0666	0.130536	-0.1181 ... 0.1429	0.8521	-0.118136	0.142936	1.0	0.0	0.0124	female_postmenopause	joint_1	albumin_imputation	0.1715616	logistic	joint	adjust	albumin_imputation
