phenotype_primary	design	study_primary	study_secondary	summary_error	summary_interval	variants	correlation	standard_error	interval_95	confidence_95_range	probability	confidence_95_low	confidence_95_high	confidence_95_not_one	confidence_95_not_zero	correlation_absolute	cohort	model	phenotype_secondary	interval_99	dependence_type	model_context	model_adjustment	variable
alcohol_dependence_genotype	primaries_against_34255042_schmitz_2021	30482948_walters_2018_eur_unrel_genotype	34255042_schmitz_2021_female	-0.1145 (0.2386)	(rg: -0.1145; 95% CI: -0.5822 ... 0.3532)	921073.0	-0.1145	0.2386	0.467656	-0.5822 ... 0.3532	0.6314	-0.582156	0.353156	1.0	0.0	0.1145	female	nan	nan	0.6146336	logistic	joint	adjust	nan
alcohol_dependence_genotype	primaries_against_34255042_schmitz_2021	30482948_walters_2018_eur_unrel_genotype	34255042_schmitz_2021_male	0.15 (0.146)	(rg: 0.15; 95% CI: -0.1362 ... 0.4362)	921073.0	0.15	0.146	0.2861599999999999	-0.1362 ... 0.4362	0.3044	-0.1361599999999999	0.43616	1.0	0.0	0.15	male	nan	nan	0.376096	logistic	joint	adjust	nan
alcohol_dependence_genotype	primaries_against_albumin_linear	30482948_walters_2018_eur_unrel_genotype	female_joint_1_albumin_imputation	0.0753 (0.0698)	(rg: 0.0753; 95% CI: -0.0615 ... 0.2121)	1168441.0	0.0753	0.0698	0.136808	-0.0615 ... 0.2121	0.2803	-0.061508	0.212108	1.0	0.0	0.0753	female	joint_1	albumin_imputation	0.17980480000000001	logistic	joint	adjust	albumin_imputation
alcohol_dependence_genotype	primaries_against_albumin_linear	30482948_walters_2018_eur_unrel_genotype	female_male_priority_male_joint_1_albumin_imputation	0.0445 (0.0599)	(rg: 0.0445; 95% CI: -0.0729 ... 0.1619)	1168441.0	0.0445	0.0599	0.117404	-0.0729 ... 0.1619	0.4573	-0.072904	0.161904	1.0	0.0	0.0445	female_male	joint_1	albumin_imputation	0.1543024	logistic	joint	adjust	albumin_imputation
alcohol_dependence_genotype	primaries_against_albumin_linear	30482948_walters_2018_eur_unrel_genotype	female_male_priority_male_unadjust_albumin_imputation	-0.0129 (0.0587)	(rg: -0.0129; 95% CI: -0.128 ... 0.1022)	1168441.0	-0.0129	0.0587	0.115052	-0.128 ... 0.1022	0.8256	-0.127952	0.102152	1.0	0.0	0.0129	female_male	unadjust	albumin_imputation	0.15121120000000002	logistic	joint	unadjust	albumin_imputation
alcohol_dependence_genotype	primaries_against_albumin_linear	30482948_walters_2018_eur_unrel_genotype	female_menstruation_regular_joint_1_albumin_imputation	0.1917 (0.1263)	(rg: 0.1917; 95% CI: -0.0558 ... 0.4392)	1168442.0	0.1917	0.1263	0.247548	-0.0558 ... 0.4392	0.1291	-0.0558479999999999	0.4392479999999999	1.0	0.0	0.1917	female_menstruation_regular	joint_1	albumin_imputation	0.3253488	logistic	joint	adjust	albumin_imputation
alcohol_dependence_genotype	primaries_against_albumin_linear	30482948_walters_2018_eur_unrel_genotype	female_menstruation_regular_unadjust_albumin_imputation	0.114 (0.1191)	(rg: 0.114; 95% CI: -0.1194 ... 0.3474)	1168442.0	0.114	0.1191	0.233436	-0.1194 ... 0.3474	0.3385	-0.119436	0.347436	1.0	0.0	0.114	female_menstruation_regular	unadjust	albumin_imputation	0.3068016	logistic	joint	unadjust	albumin_imputation
alcohol_dependence_genotype	primaries_against_albumin_linear	30482948_walters_2018_eur_unrel_genotype	female_perimenopause_joint_1_albumin_imputation	-0.0556 (0.1388)	(rg: -0.0556; 95% CI: -0.3276 ... 0.2164)	1168441.0	-0.0556	0.1388	0.272048	-0.3276 ... 0.2164	0.6886	-0.327648	0.216448	1.0	0.0	0.0556	female_perimenopause	joint_1	albumin_imputation	0.3575488	logistic	joint	adjust	albumin_imputation
alcohol_dependence_genotype	primaries_against_albumin_linear	30482948_walters_2018_eur_unrel_genotype	female_perimenopause_unadjust_albumin_imputation	-0.1564 (0.1396)	(rg: -0.1564; 95% CI: -0.43 ... 0.1172)	1168441.0	-0.1564	0.1396	0.273616	-0.43 ... 0.1172	0.2625	-0.430016	0.117216	1.0	0.0	0.1564	female_perimenopause	unadjust	albumin_imputation	0.35960960000000003	logistic	joint	unadjust	albumin_imputation
alcohol_dependence_genotype	primaries_against_albumin_linear	30482948_walters_2018_eur_unrel_genotype	female_postmenopause_joint_1_albumin_imputation	0.0679 (0.0724)	(rg: 0.0679; 95% CI: -0.074 ... 0.2098)	1168441.0	0.0679	0.0724	0.141904	-0.074 ... 0.2098	0.3486	-0.074004	0.209804	1.0	0.0	0.0679	female_postmenopause	joint_1	albumin_imputation	0.1865024	logistic	joint	adjust	albumin_imputation
