phenotype_primary	design	study_primary	study_secondary	summary_error	summary_interval	variants	correlation	standard_error	interval_95	confidence_95_range	probability	confidence_95_low	confidence_95_high	confidence_95_not_one	confidence_95_not_zero	correlation_absolute	cohort	model	phenotype_secondary	interval_99	dependence_type	model_context	model_adjustment	variable
alcohol_quantity	primaries_against_34255042_schmitz_2021	30643251_liu_2019_alcohol_all	34255042_schmitz_2021_female	-0.0874 (0.0844)	(rg: -0.0874; 95% CI: -0.2528 ... 0.078)	919909.0	-0.0874	0.0844	0.165424	-0.2528 ... 0.078	0.3001	-0.252824	0.078024	1.0	0.0	0.0874	female	nan	nan	0.2174144	linear	joint	adjust	nan
alcohol_quantity	primaries_against_34255042_schmitz_2021	30643251_liu_2019_alcohol_all	34255042_schmitz_2021_male	0.0168 (0.0433)	(rg: 0.0168; 95% CI: -0.0681 ... 0.1017)	919909.0	0.0168	0.0433	0.084868	-0.0681 ... 0.1017	0.6971	-0.068068	0.101668	1.0	0.0	0.0168	male	nan	nan	0.1115408	linear	joint	adjust	nan
alcohol_quantity	primaries_against_albumin_linear	30643251_liu_2019_alcohol_all	female_joint_1_albumin_imputation	0.0932 (0.0282)	(rg: 0.0932; 95% CI: 0.0379 ... 0.1485)	1173302.0	0.0932	0.0282	0.0552719999999999	0.0379 ... 0.1485	0.001	0.037928	0.148472	1.0	1.0	0.0932	female	joint_1	albumin_imputation	0.0726432	linear	joint	adjust	albumin_imputation
alcohol_quantity	primaries_against_albumin_linear	30643251_liu_2019_alcohol_all	female_male_priority_male_joint_1_albumin_imputation	0.0545 (0.0274)	(rg: 0.0545; 95% CI: 0.0008 ... 0.1082)	1173302.0	0.0545	0.0274	0.053704	0.0008 ... 0.1082	0.047	0.0007959999999999	0.108204	1.0	1.0	0.0545	female_male	joint_1	albumin_imputation	0.0705824	linear	joint	adjust	albumin_imputation
alcohol_quantity	primaries_against_albumin_linear	30643251_liu_2019_alcohol_all	female_male_priority_male_unadjust_albumin_imputation	0.0544 (0.0288)	(rg: 0.0544; 95% CI: -0.002 ... 0.1108)	1173302.0	0.0544	0.0288	0.056448	-0.002 ... 0.1108	0.0587	-0.002048	0.110848	1.0	0.0	0.0544	female_male	unadjust	albumin_imputation	0.0741888	linear	joint	unadjust	albumin_imputation
alcohol_quantity	primaries_against_albumin_linear	30643251_liu_2019_alcohol_all	female_menstruation_regular_joint_1_albumin_imputation	0.0358 (0.0469)	(rg: 0.0358; 95% CI: -0.0561 ... 0.1277)	1173302.0	0.0358	0.0469	0.0919239999999999	-0.0561 ... 0.1277	0.4451	-0.0561239999999999	0.127724	1.0	0.0	0.0358	female_menstruation_regular	joint_1	albumin_imputation	0.1208144	linear	joint	adjust	albumin_imputation
alcohol_quantity	primaries_against_albumin_linear	30643251_liu_2019_alcohol_all	female_menstruation_regular_unadjust_albumin_imputation	0.0584 (0.0472)	(rg: 0.0584; 95% CI: -0.0341 ... 0.1509)	1173302.0	0.0584	0.0472	0.092512	-0.0341 ... 0.1509	0.2161	-0.0341119999999999	0.150912	1.0	0.0	0.0584	female_menstruation_regular	unadjust	albumin_imputation	0.1215872	linear	joint	unadjust	albumin_imputation
alcohol_quantity	primaries_against_albumin_linear	30643251_liu_2019_alcohol_all	female_perimenopause_joint_1_albumin_imputation	-0.0151 (0.05)	(rg: -0.0151; 95% CI: -0.1131 ... 0.0829)	1173302.0	-0.0151	0.05	0.098	-0.1131 ... 0.0829	0.7629	-0.1131	0.0829	1.0	0.0	0.0151	female_perimenopause	joint_1	albumin_imputation	0.1288	linear	joint	adjust	albumin_imputation
alcohol_quantity	primaries_against_albumin_linear	30643251_liu_2019_alcohol_all	female_perimenopause_unadjust_albumin_imputation	0.0106 (0.0507)	(rg: 0.0106; 95% CI: -0.0888 ... 0.11)	1173302.0	0.0106	0.0507	0.099372	-0.0888 ... 0.11	0.8346	-0.088772	0.109972	1.0	0.0	0.0106	female_perimenopause	unadjust	albumin_imputation	0.1306032	linear	joint	unadjust	albumin_imputation
alcohol_quantity	primaries_against_albumin_linear	30643251_liu_2019_alcohol_all	female_postmenopause_joint_1_albumin_imputation	0.102 (0.0315)	(rg: 0.102; 95% CI: 0.0403 ... 0.1637)	1173302.0	0.102	0.0315	0.0617399999999999	0.0403 ... 0.1637	0.0012	0.04026	0.16374	1.0	1.0	0.102	female_postmenopause	joint_1	albumin_imputation	0.08114400000000001	linear	joint	adjust	albumin_imputation
