phenotype_primary	design	study_primary	study_secondary	summary_error	summary_interval	variants	correlation	standard_error	interval_95	confidence_95_range	probability	confidence_95_low	confidence_95_high	confidence_95_not_one	confidence_95_not_zero	correlation_absolute	cohort	model	phenotype_secondary	interval_99	dependence_type	model_context	model_adjustment	variable
bipolar	primaries_against_34255042_schmitz_2021	34002096_mullins_2021_all	34255042_schmitz_2021_female	0.0103 (0.068)	(rg: 0.0103; 95% CI: -0.123 ... 0.1436)	899779.0	0.0103	0.068	0.13328	-0.123 ... 0.1436	0.8795	-0.12298	0.14358	1.0	0.0	0.0103	female	nan	nan	0.17516800000000002	logistic	joint	adjust	nan
bipolar	primaries_against_34255042_schmitz_2021	34002096_mullins_2021_all	34255042_schmitz_2021_male	-0.0098 (0.0437)	(rg: -0.0098; 95% CI: -0.0955 ... 0.0759)	899779.0	-0.0098	0.0437	0.085652	-0.0955 ... 0.0759	0.823	-0.095452	0.075852	1.0	0.0	0.0098	male	nan	nan	0.11257120000000001	logistic	joint	adjust	nan
bipolar	primaries_against_albumin_linear	34002096_mullins_2021_all	female_joint_1_albumin_imputation	-0.0102 (0.0245)	(rg: -0.0102; 95% CI: -0.0582 ... 0.0378)	1137118.0	-0.0102	0.0245	0.04802	-0.0582 ... 0.0378	0.6779	-0.05822	0.03782	1.0	0.0	0.0102	female	joint_1	albumin_imputation	0.063112	logistic	joint	adjust	albumin_imputation
bipolar	primaries_against_albumin_linear	34002096_mullins_2021_all	female_male_priority_male_joint_1_albumin_imputation	-0.0205 (0.0208)	(rg: -0.0205; 95% CI: -0.0613 ... 0.0203)	1137118.0	-0.0205	0.0208	0.040768	-0.0613 ... 0.0203	0.3246	-0.061268	0.0202679999999999	1.0	0.0	0.0205	female_male	joint_1	albumin_imputation	0.0535808	logistic	joint	adjust	albumin_imputation
bipolar	primaries_against_albumin_linear	34002096_mullins_2021_all	female_male_priority_male_unadjust_albumin_imputation	-0.0135 (0.0208)	(rg: -0.0135; 95% CI: -0.0543 ... 0.0273)	1137118.0	-0.0135	0.0208	0.040768	-0.0543 ... 0.0273	0.5173	-0.054268	0.027268	1.0	0.0	0.0135	female_male	unadjust	albumin_imputation	0.0535808	logistic	joint	unadjust	albumin_imputation
bipolar	primaries_against_albumin_linear	34002096_mullins_2021_all	female_menstruation_regular_joint_1_albumin_imputation	-0.0529 (0.0475)	(rg: -0.0529; 95% CI: -0.146 ... 0.0402)	1137119.0	-0.0529	0.0475	0.0931	-0.146 ... 0.0402	0.2655	-0.146	0.0402	1.0	0.0	0.0529	female_menstruation_regular	joint_1	albumin_imputation	0.12236000000000001	logistic	joint	adjust	albumin_imputation
bipolar	primaries_against_albumin_linear	34002096_mullins_2021_all	female_menstruation_regular_unadjust_albumin_imputation	-0.0419 (0.0443)	(rg: -0.0419; 95% CI: -0.1287 ... 0.0449)	1137119.0	-0.0419	0.0443	0.086828	-0.1287 ... 0.0449	0.3445	-0.128728	0.044928	1.0	0.0	0.0419	female_menstruation_regular	unadjust	albumin_imputation	0.1141168	logistic	joint	unadjust	albumin_imputation
bipolar	primaries_against_albumin_linear	34002096_mullins_2021_all	female_perimenopause_joint_1_albumin_imputation	-0.0099 (0.049)	(rg: -0.0099; 95% CI: -0.1059 ... 0.0861)	1137118.0	-0.0099	0.049	0.09604	-0.1059 ... 0.0861	0.8406	-0.10594	0.08614	1.0	0.0	0.0099	female_perimenopause	joint_1	albumin_imputation	0.126224	logistic	joint	adjust	albumin_imputation
bipolar	primaries_against_albumin_linear	34002096_mullins_2021_all	female_perimenopause_unadjust_albumin_imputation	0.0221 (0.0471)	(rg: 0.0221; 95% CI: -0.0702 ... 0.1144)	1137118.0	0.0221	0.0471	0.092316	-0.0702 ... 0.1144	0.6383	-0.070216	0.114416	1.0	0.0	0.0221	female_perimenopause	unadjust	albumin_imputation	0.12132960000000001	logistic	joint	unadjust	albumin_imputation
bipolar	primaries_against_albumin_linear	34002096_mullins_2021_all	female_postmenopause_joint_1_albumin_imputation	-0.0059 (0.0267)	(rg: -0.0059; 95% CI: -0.0582 ... 0.0464)	1137118.0	-0.0059	0.0267	0.052332	-0.0582 ... 0.0464	0.824	-0.058232	0.046432	1.0	0.0	0.0059	female_postmenopause	joint_1	albumin_imputation	0.06877920000000001	logistic	joint	adjust	albumin_imputation
