phenotype_primary	design	study_primary	study_secondary	summary_error	summary_interval	variants	correlation	standard_error	interval_95	confidence_95_range	probability	confidence_95_low	confidence_95_high	confidence_95_not_one	confidence_95_not_zero	correlation_absolute	cohort	model	phenotype_secondary	interval_99	dependence_type	model_context	model_adjustment	variable
bipolar_type_2	primaries_against_34255042_schmitz_2021	34002096_mullins_2021_bpd2	34255042_schmitz_2021_female	0.1031 (0.1477)	(rg: 0.1031; 95% CI: -0.1864 ... 0.3926)	883615.0	0.1031	0.1477	0.2894919999999999	-0.1864 ... 0.3926	0.4852	-0.1863919999999999	0.3925919999999999	1.0	0.0	0.1031	female	nan	nan	0.3804752	logistic	joint	adjust	nan
bipolar_type_2	primaries_against_34255042_schmitz_2021	34002096_mullins_2021_bpd2	34255042_schmitz_2021_male	-0.0091 (0.082)	(rg: -0.0091; 95% CI: -0.1698 ... 0.1516)	883615.0	-0.0091	0.082	0.16072	-0.1698 ... 0.1516	0.9111	-0.16982	0.15162	1.0	0.0	0.0091	male	nan	nan	0.211232	logistic	joint	adjust	nan
bipolar_type_2	primaries_against_albumin_linear	34002096_mullins_2021_bpd2	female_joint_1_albumin_imputation	-0.0037 (0.0451)	(rg: -0.0037; 95% CI: -0.0921 ... 0.0847)	1114636.0	-0.0037	0.0451	0.088396	-0.0921 ... 0.0847	0.934	-0.092096	0.084696	1.0	0.0	0.0037	female	joint_1	albumin_imputation	0.1161776	logistic	joint	adjust	albumin_imputation
bipolar_type_2	primaries_against_albumin_linear	34002096_mullins_2021_bpd2	female_male_priority_male_joint_1_albumin_imputation	-0.019 (0.0366)	(rg: -0.019; 95% CI: -0.0907 ... 0.0527)	1114636.0	-0.019	0.0366	0.071736	-0.0907 ... 0.0527	0.6035	-0.090736	0.0527359999999999	1.0	0.0	0.019	female_male	joint_1	albumin_imputation	0.09428160000000001	logistic	joint	adjust	albumin_imputation
bipolar_type_2	primaries_against_albumin_linear	34002096_mullins_2021_bpd2	female_male_priority_male_unadjust_albumin_imputation	-0.0251 (0.0374)	(rg: -0.0251; 95% CI: -0.0984 ... 0.0482)	1114636.0	-0.0251	0.0374	0.073304	-0.0984 ... 0.0482	0.5027	-0.098404	0.048204	1.0	0.0	0.0251	female_male	unadjust	albumin_imputation	0.09634240000000001	logistic	joint	unadjust	albumin_imputation
bipolar_type_2	primaries_against_albumin_linear	34002096_mullins_2021_bpd2	female_menstruation_regular_joint_1_albumin_imputation	-0.1353 (0.0873)	(rg: -0.1353; 95% CI: -0.3064 ... 0.0358)	1114637.0	-0.1353	0.0873	0.171108	-0.3064 ... 0.0358	0.121	-0.306408	0.035808	1.0	0.0	0.1353	female_menstruation_regular	joint_1	albumin_imputation	0.22488480000000002	logistic	joint	adjust	albumin_imputation
bipolar_type_2	primaries_against_albumin_linear	34002096_mullins_2021_bpd2	female_menstruation_regular_unadjust_albumin_imputation	-0.1374 (0.0844)	(rg: -0.1374; 95% CI: -0.3028 ... 0.028)	1114637.0	-0.1374	0.0844	0.165424	-0.3028 ... 0.028	0.1036	-0.302824	0.028024	1.0	0.0	0.1374	female_menstruation_regular	unadjust	albumin_imputation	0.2174144	logistic	joint	unadjust	albumin_imputation
bipolar_type_2	primaries_against_albumin_linear	34002096_mullins_2021_bpd2	female_perimenopause_joint_1_albumin_imputation	0.0435 (0.0992)	(rg: 0.0435; 95% CI: -0.1509 ... 0.2379)	1114636.0	0.0435	0.0992	0.194432	-0.1509 ... 0.2379	0.6608	-0.150932	0.2379319999999999	1.0	0.0	0.0435	female_perimenopause	joint_1	albumin_imputation	0.2555392	logistic	joint	adjust	albumin_imputation
bipolar_type_2	primaries_against_albumin_linear	34002096_mullins_2021_bpd2	female_perimenopause_unadjust_albumin_imputation	0.0475 (0.0989)	(rg: 0.0475; 95% CI: -0.1463 ... 0.2413)	1114636.0	0.0475	0.0989	0.193844	-0.1463 ... 0.2413	0.6309	-0.1463439999999999	0.241344	1.0	0.0	0.0475	female_perimenopause	unadjust	albumin_imputation	0.2547664	logistic	joint	unadjust	albumin_imputation
bipolar_type_2	primaries_against_albumin_linear	34002096_mullins_2021_bpd2	female_postmenopause_joint_1_albumin_imputation	0.0131 (0.0476)	(rg: 0.0131; 95% CI: -0.0802 ... 0.1064)	1114636.0	0.0131	0.0476	0.093296	-0.0802 ... 0.1064	0.7836	-0.080196	0.106396	1.0	0.0	0.0131	female_postmenopause	joint_1	albumin_imputation	0.12261760000000001	logistic	joint	adjust	albumin_imputation
