phenotype_primary	design	study_primary	study_secondary	summary_error	summary_interval	variants	correlation	standard_error	interval_95	confidence_95_range	probability	confidence_95_low	confidence_95_high	confidence_95_not_one	confidence_95_not_zero	correlation_absolute	cohort	model	phenotype_secondary	interval_99	dependence_type	model_context	model_adjustment	variable
schizophrenia	primaries_against_34255042_schmitz_2021	00000000_ripke_2022	34255042_schmitz_2021_female	0.0705 (0.0656)	(rg: 0.0705; 95% CI: -0.0581 ... 0.1991)	924423.0	0.0705	0.0656	0.128576	-0.0581 ... 0.1991	0.2823	-0.058076	0.1990759999999999	1.0	0.0	0.0705	female	nan	nan	0.1689856	logistic	joint	adjust	nan
schizophrenia	primaries_against_34255042_schmitz_2021	00000000_ripke_2022	34255042_schmitz_2021_male	-0.0006 (0.0403)	(rg: -0.0006; 95% CI: -0.0796 ... 0.0784)	924423.0	-0.0006	0.0403	0.078988	-0.0796 ... 0.0784	0.9883	-0.079588	0.078388	1.0	0.0	0.0006	male	nan	nan	0.10381280000000001	logistic	joint	adjust	nan
schizophrenia	primaries_against_albumin_linear	00000000_ripke_2022	female_joint_1_albumin_imputation	0.0123 (0.0228)	(rg: 0.0123; 95% CI: -0.0324 ... 0.057)	1171380.0	0.0123	0.0228	0.044688	-0.0324 ... 0.057	0.5914	-0.032388	0.056988	1.0	0.0	0.0123	female	joint_1	albumin_imputation	0.0587328	logistic	joint	adjust	albumin_imputation
schizophrenia	primaries_against_albumin_linear	00000000_ripke_2022	female_male_priority_male_joint_1_albumin_imputation	-0.0092 (0.0195)	(rg: -0.0092; 95% CI: -0.0474 ... 0.029)	1171380.0	-0.0092	0.0195	0.03822	-0.0474 ... 0.029	0.6391	-0.04742	0.0290199999999999	1.0	0.0	0.0092	female_male	joint_1	albumin_imputation	0.050232	logistic	joint	adjust	albumin_imputation
schizophrenia	primaries_against_albumin_linear	00000000_ripke_2022	female_male_priority_male_unadjust_albumin_imputation	0.0076 (0.0191)	(rg: 0.0076; 95% CI: -0.0298 ... 0.045)	1171380.0	0.0076	0.0191	0.037436	-0.0298 ... 0.045	0.6892	-0.0298359999999999	0.045036	1.0	0.0	0.0076	female_male	unadjust	albumin_imputation	0.0492016	logistic	joint	unadjust	albumin_imputation
schizophrenia	primaries_against_albumin_linear	00000000_ripke_2022	female_menstruation_regular_joint_1_albumin_imputation	-0.0071 (0.0408)	(rg: -0.0071; 95% CI: -0.0871 ... 0.0729)	1171381.0	-0.0071	0.0408	0.079968	-0.0871 ... 0.0729	0.8621	-0.0870679999999999	0.072868	1.0	0.0	0.0071	female_menstruation_regular	joint_1	albumin_imputation	0.10510080000000001	logistic	joint	adjust	albumin_imputation
schizophrenia	primaries_against_albumin_linear	00000000_ripke_2022	female_menstruation_regular_unadjust_albumin_imputation	0.0532 (0.0414)	(rg: 0.0532; 95% CI: -0.0279 ... 0.1343)	1171381.0	0.0532	0.0414	0.081144	-0.0279 ... 0.1343	0.1988	-0.0279439999999999	0.134344	1.0	0.0	0.0532	female_menstruation_regular	unadjust	albumin_imputation	0.1066464	logistic	joint	unadjust	albumin_imputation
schizophrenia	primaries_against_albumin_linear	00000000_ripke_2022	female_perimenopause_joint_1_albumin_imputation	-0.0194 (0.047)	(rg: -0.0194; 95% CI: -0.1115 ... 0.0727)	1171380.0	-0.0194	0.047	0.09212	-0.1115 ... 0.0727	0.6798	-0.11152	0.0727199999999999	1.0	0.0	0.0194	female_perimenopause	joint_1	albumin_imputation	0.121072	logistic	joint	adjust	albumin_imputation
schizophrenia	primaries_against_albumin_linear	00000000_ripke_2022	female_perimenopause_unadjust_albumin_imputation	0.0372 (0.0463)	(rg: 0.0372; 95% CI: -0.0535 ... 0.1279)	1171380.0	0.0372	0.0463	0.090748	-0.0535 ... 0.1279	0.4211	-0.053548	0.127948	1.0	0.0	0.0372	female_perimenopause	unadjust	albumin_imputation	0.11926880000000001	logistic	joint	unadjust	albumin_imputation
schizophrenia	primaries_against_albumin_linear	00000000_ripke_2022	female_postmenopause_joint_1_albumin_imputation	0.0072 (0.024)	(rg: 0.0072; 95% CI: -0.0398 ... 0.0542)	1171380.0	0.0072	0.024	0.04704	-0.0398 ... 0.0542	0.7635	-0.03984	0.05424	1.0	0.0	0.0072	female_postmenopause	joint_1	albumin_imputation	0.061824000000000004	logistic	joint	adjust	albumin_imputation
schizophrenia	primaries_against_albumin_linear	00000000_ripke_2022	female_postmenopause_unadjust_albumin_imputation	0.0315 (0.0232)	(rg: 0.0315; 95% CI: -0.014 ... 0.077)	1171380.0	0.0315	0.0232	0.045472	-0.014 ... 0.077	0.1751	-0.0139719999999999	0.076972	1.0	0.0	0.0315	female_postmenopause	unadjust	albumin_imputation	0.059763199999999995	logistic	joint	unadjust	albumin_imputation
schizophrenia	primaries_against_albumin_linear	00000000_ripke_2022	female_premenopause_joint_1_albumin_imputation	0.0233 (0.0468)	(rg: 0.0233; 95% CI: -0.0684 ... 0.115)	1171381.0	0.0233	0.0468	0.091728	-0.0684 ... 0.115	0.6182	-0.068428	0.115028	1.0	0.0	0.0233	female_premenopause	joint_1	albumin_imputation	0.1205568	logistic	joint	adjust	albumin_imputation
schizophrenia	primaries_against_albumin_linear	00000000_ripke_2022	female_premenopause_unadjust_albumin_imputation	0.0797 (0.0472)	(rg: 0.0797; 95% CI: -0.0128 ... 0.1722)	1171381.0	0.0797	0.0472	0.092512	-0.0128 ... 0.1722	0.0912	-0.012812	0.1722119999999999	1.0	0.0	0.0797	female_premenopause	unadjust	albumin_imputation	0.1215872	logistic	joint	unadjust	albumin_imputation
