execution	cohort	cohort_sort	dependence	dependence_sort	dependence_type	model	model_sort	independence	model_note
1	alcohol_yes_female	1	alcohol_frequency	1	linear	1	1	births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint adjust
1	alcohol_yes_female	1	alcohol_frequency	1	linear	2	2	oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint unadjust
1	alcohol_yes_female	1	alcohol_frequency	1	linear	3	3	births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation	marginal adjust oestradiol
1	alcohol_yes_female	1	alcohol_frequency	1	linear	4	4	births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;testosterone_imputation	marginal adjust testosterone
1	alcohol_yes_female	1	alcohol_frequency	1	linear	5	5	births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;steroid_globulin_imputation	marginal adjust steroid globulin
1	alcohol_yes_female	1	alcohol_frequency	1	linear	6	6	births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;albumin_imputation	marginal adjust albumin
1	alcohol_yes_female	1	alcohol_frequency	1	linear	7	7	oestradiol_imputation	marginal unadjust oestradiol
1	alcohol_yes_female	1	alcohol_frequency	1	linear	8	8	testosterone_imputation	marginal unadjust testosterone
1	alcohol_yes_female	1	alcohol_frequency	1	linear	9	9	steroid_globulin_imputation	marginal unadjust steroid globulin
1	alcohol_yes_female	1	alcohol_frequency	1	linear	10	10	albumin_imputation	marginal unadjust albumin
1	alcohol_yes_female_menstruation_regular	2	alcohol_frequency	1	linear	1	1	menstruation_phase_cycle;birth_live_recent;births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint adjust
1	alcohol_yes_female_menstruation_regular	2	alcohol_frequency	1	linear	2	2	oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint unadjust
1	alcohol_yes_female_menstruation_regular	2	alcohol_frequency	1	linear	3	3	menstruation_phase_cycle;birth_live_recent;births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation	marginal adjust oestradiol
1	alcohol_yes_female_menstruation_regular	2	alcohol_frequency	1	linear	4	4	menstruation_phase_cycle;birth_live_recent;births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;testosterone_imputation	marginal adjust testosterone
1	alcohol_yes_female_menstruation_regular	2	alcohol_frequency	1	linear	5	5	menstruation_phase_cycle;birth_live_recent;births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;steroid_globulin_imputation	marginal adjust steroid globulin
1	alcohol_yes_female_menstruation_regular	2	alcohol_frequency	1	linear	6	6	menstruation_phase_cycle;birth_live_recent;births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;albumin_imputation	marginal adjust albumin
1	alcohol_yes_female_menstruation_regular	2	alcohol_frequency	1	linear	7	7	oestradiol_imputation	marginal unadjust oestradiol
1	alcohol_yes_female_menstruation_regular	2	alcohol_frequency	1	linear	8	8	testosterone_imputation	marginal unadjust testosterone
1	alcohol_yes_female_menstruation_regular	2	alcohol_frequency	1	linear	9	9	steroid_globulin_imputation	marginal unadjust steroid globulin
1	alcohol_yes_female_menstruation_regular	2	alcohol_frequency	1	linear	10	10	albumin_imputation	marginal unadjust albumin
1	alcohol_yes_female_premenopause	3	alcohol_frequency	1	linear	1	1	menstruation_phase_cycle;birth_live_recent;births;hysterectomy;age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint adjust
1	alcohol_yes_female_premenopause	3	alcohol_frequency	1	linear	2	2	oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint unadjust
1	alcohol_yes_female_premenopause	3	alcohol_frequency	1	linear	3	3	menstruation_phase_cycle;birth_live_recent;births;hysterectomy;age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation	marginal adjust oestradiol
1	alcohol_yes_female_premenopause	3	alcohol_frequency	1	linear	4	4	menstruation_phase_cycle;birth_live_recent;births;hysterectomy;age;body_log;region;season;alteration_sex_hormone;testosterone_imputation	marginal adjust testosterone
1	alcohol_yes_female_premenopause	3	alcohol_frequency	1	linear	5	5	menstruation_phase_cycle;birth_live_recent;births;hysterectomy;age;body_log;region;season;alteration_sex_hormone;steroid_globulin_imputation	marginal adjust steroid globulin
1	alcohol_yes_female_premenopause	3	alcohol_frequency	1	linear	6	6	menstruation_phase_cycle;birth_live_recent;births;hysterectomy;age;body_log;region;season;alteration_sex_hormone;albumin_imputation	marginal adjust albumin
1	alcohol_yes_female_premenopause	3	alcohol_frequency	1	linear	7	7	oestradiol_imputation	marginal unadjust oestradiol
1	alcohol_yes_female_premenopause	3	alcohol_frequency	1	linear	8	8	testosterone_imputation	marginal unadjust testosterone
1	alcohol_yes_female_premenopause	3	alcohol_frequency	1	linear	9	9	steroid_globulin_imputation	marginal unadjust steroid globulin
