execution	cohort	cohort_sort	dependence	dependence_sort	model	model_sort	independence
1	female_male	1	vitamin_d_log	1	1	1	depression_control_case_loose;sex_y;age;body_log;assessment_region;assessment_season
1	female_male	1	vitamin_d_imputation_log	2	1	1	depression_control_case_loose;sex_y;age;body_log;assessment_region;assessment_season
1	female_male	1	vitamin_d_log	1	2	2	depression_control_case_strict;sex_y;age;body_log;assessment_region;assessment_season
1	female_male	1	vitamin_d_imputation_log	2	2	2	depression_control_case_strict;sex_y;age;body_log;assessment_region;assessment_season
1	female_male	1	vitamin_d_log	1	3	3	bipolar_control_case_loose;sex_y;age;body_log;assessment_region;assessment_season
1	female_male	1	vitamin_d_imputation_log	2	3	3	bipolar_control_case_loose;sex_y;age;body_log;assessment_region;assessment_season
1	female_male	1	vitamin_d_log	1	4	4	bipolar_control_case_strict;sex_y;age;body_log;assessment_region;assessment_season
1	female_male	1	vitamin_d_imputation_log	2	4	4	bipolar_control_case_strict;sex_y;age;body_log;assessment_region;assessment_season
1	female_male	1	vitamin_d_log	1	5	5	alcohol_frequency;sex_y;age;body_log;assessment_region;assessment_season
1	female_male	1	vitamin_d_imputation_log	2	5	5	alcohol_frequency;sex_y;age;body_log;assessment_region;assessment_season
1	female_male	1	vitamin_d_log	1	6	6	alcohol_current;sex_y;age;body_log;assessment_region;assessment_season
1	female_male	1	vitamin_d_imputation_log	2	6	6	alcohol_current;sex_y;age;body_log;assessment_region;assessment_season
1	female_male	1	vitamin_d_log	1	7	7	alcoholism_control_case_any;sex_y;age;body_log;assessment_region;assessment_season
1	female_male	1	vitamin_d_imputation_log	2	7	7	alcoholism_control_case_any;sex_y;age;body_log;assessment_region;assessment_season
1	female_male	1	vitamin_d_log	1	8	8	alcoholism_control_case_1;sex_y;age;body_log;assessment_region;assessment_season
1	female_male	1	vitamin_d_imputation_log	2	8	8	alcoholism_control_case_1;sex_y;age;body_log;assessment_region;assessment_season
