execution	cohort	cohort_sort	dependence	dependence_sort	model	model_sort	independence	model_note
0	female_male	1	vitamin_d_log	1	1	1	sex_y;age;body_log;assessment_season;assessment_region;medication_vitamin_d;alteration_sex_hormone	joint model
1	female_male	1	vitamin_d_imputation_log	2	1	1	sex_y;age;body_log;assessment_season;assessment_region;medication_vitamin_d;alteration_sex_hormone	joint model
0	female_male	1	vitamin_d_log	1	2	2	age;body_log;assessment_season;assessment_region;medication_vitamin_d;alteration_sex_hormone	leave out “sex_y”
1	female_male	1	vitamin_d_imputation_log	2	2	2	age;body_log;assessment_season;assessment_region;medication_vitamin_d;alteration_sex_hormone	leave out “sex_y”
0	female_male	1	vitamin_d_log	1	3	3	sex_y;body_log;assessment_season;assessment_region;medication_vitamin_d;alteration_sex_hormone	leave out “age”
1	female_male	1	vitamin_d_imputation_log	2	3	3	sex_y;body_log;assessment_season;assessment_region;medication_vitamin_d;alteration_sex_hormone	leave out “age”
0	female_male	1	vitamin_d_log	1	4	4	sex_y;age;assessment_season;assessment_region;medication_vitamin_d;alteration_sex_hormone	leave out “body_log”
1	female_male	1	vitamin_d_imputation_log	2	4	4	sex_y;age;assessment_season;assessment_region;medication_vitamin_d;alteration_sex_hormone	leave out “body_log”
0	female_male	1	vitamin_d_log	1	5	5	sex_y;age;body_log;assessment_region;medication_vitamin_d;alteration_sex_hormone	leave out “assessment_season”
1	female_male	1	vitamin_d_imputation_log	2	5	5	sex_y;age;body_log;assessment_region;medication_vitamin_d;alteration_sex_hormone	leave out “assessment_season”
0	female_male	1	vitamin_d_log	1	6	6	sex_y;age;body_log;assessment_season;medication_vitamin_d;alteration_sex_hormone	leave out “assessment_region”
1	female_male	1	vitamin_d_imputation_log	2	6	6	sex_y;age;body_log;assessment_season;medication_vitamin_d;alteration_sex_hormone	leave out “assessment_region”
0	female_male	1	vitamin_d_log	1	7	7	sex_y;age;body_log;assessment_season;assessment_region;alteration_sex_hormone	leave out “medication_vitamin_d”
1	female_male	1	vitamin_d_imputation_log	2	7	7	sex_y;age;body_log;assessment_season;assessment_region;alteration_sex_hormone	leave out “medication_vitamin_d”
0	female_male	1	vitamin_d_log	1	8	8	sex_y;age;body_log;assessment_season;assessment_region;medication_vitamin_d	leave out “alteration_sex_hormone”
1	female_male	1	vitamin_d_imputation_log	2	8	8	sex_y;age;body_log;assessment_season;assessment_region;medication_vitamin_d	leave out “alteration_sex_hormone”
1	female_male	1	vitamin_d_imputation_log	2	9	9	sex_y	marginal model
1	female_male	1	vitamin_d_imputation_log	2	10	10	age	marginal model
1	female_male	1	vitamin_d_imputation_log	2	11	11	body_log	marginal model
1	female_male	1	vitamin_d_imputation_log	2	12	12	assessment_season	marginal model
1	female_male	1	vitamin_d_imputation_log	2	13	13	assessment_region	marginal model
1	female_male	1	vitamin_d_imputation_log	2	14	14	medication_vitamin_d	marginal model
1	female_male	1	vitamin_d_imputation_log	2	15	15	alteration_sex_hormone	marginal model
0	female	2	vitamin_d_log	1	1	1	menopause_ordinal;age;body_log;assessment_season;assessment_region;medication_vitamin_d;alteration_sex_hormone	
1	female	2	vitamin_d_imputation_log	2	1	1	menopause_ordinal;age;body_log;assessment_season;assessment_region;medication_vitamin_d;alteration_sex_hormone	
0	female_menstruation_regular	3	vitamin_d_log	1	1	1	menopause_ordinal;menstruation_phase_cycle;age;body_log;assessment_season;assessment_region;medication_vitamin_d;alteration_sex_hormone	
1	female_menstruation_regular	3	vitamin_d_imputation_log	2	1	1	menopause_ordinal;menstruation_phase_cycle;age;body_log;assessment_season;assessment_region;medication_vitamin_d;alteration_sex_hormone	
0	male	4	vitamin_d_log	1	1	1	age;body_log;assessment_season;assessment_region;medication_vitamin_d;alteration_sex_hormone	
1	male	4	vitamin_d_imputation_log	2	1	1	age;body_log;assessment_season;assessment_region;medication_vitamin_d;alteration_sex_hormone	
