execution	cohort	cohort_sort	dependence	dependence_sort	model	model_sort	independence
0	female_male	1	depression_control_case_loose	1	1	1	sex_y;age;body_log;season;region;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation
0	female_male	1	depression_control_case_strict	2	1	1	sex_y;age;body_log;season;region;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation
0	female_male	1	bipolar_control_case_loose	3	1	1	sex_y;age;body_log;season;region;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation
0	female_male	1	bipolar_control_case_strict	4	1	1	sex_y;age;body_log;season;region;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation
0	female_male	1	alcoholism_control_case_any	5	1	1	sex_y;age;body_log;season;region;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation
0	female_male	1	alcoholism_control_case_1	6	1	1	sex_y;age;body_log;season;region;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation
1	female_male	1	alcoholism_control_case_1	6	2	2	sex_y;age;body_log;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation
1	female_male	1	alcoholism_control_case_1	6	3	3	sex_y;age;body_log;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation
1	female_male	1	alcoholism_control_case_1	6	4	4	sex_y;age;body_log;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation
0	female_male	1	alcoholism_control_case_1	6	5	5	sex_y;age;body_log;day_length;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation
0	female_male	1	alcoholism_control_case_2	7	1	1	sex_y;age;body_log;season;region;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation
1	female_male_winter	2	alcoholism_control_case_1	1	1	1	sex_y;age;body_log;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation
1	female_male_summer	3	alcoholism_control_case_1	1	2	2	sex_y;age;body_log;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation
1	female	4	alcoholism_control_case_1	1	1	1	menopause_ordinal;age;body_log;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation
1	female_menstruation_regular	5	alcoholism_control_case_1	1	1	1	menstruation_phase_cycle;menopause_ordinal;age;body_log;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation
1	female_winter	6	alcoholism_control_case_1	1	1	1	menopause_ordinal;age;body_log;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation
1	female_summer	7	alcoholism_control_case_1	1	1	1	menopause_ordinal;age;body_log;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation
1	male	8	alcoholism_control_case_1	1	1	1	age;body_log;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation
1	male_winter	9	alcoholism_control_case_1	1	1	1	age;body_log;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation
1	male_summer	10	alcoholism_control_case_1	1	1	1	age;body_log;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_detection;testosterone_imputation;vitamin_d_imputation
