execution	set	set_sort	dependence	dependence_sort	dependence_binary	cohort	cohort_sort	model	model_sort	independence_extra_female	independence	model_note
1	vitamin_d	1	vitamin_d_imputation	1	0	female_male_priority_male	1	unadjust	1	pregnancy	sex_y;sex_x;sex_text	
1	vitamin_d	1	vitamin_d_imputation	1	0	female_male_priority_male	1	joint_1	2	menopause_ordinal;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone	
1	vitamin_d	1	vitamin_d_imputation	1	0	female_male_priority_male	1	joint_2	3	menopause_ordinal;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_imputation;testosterone_imputation	
1	vitamin_d	1	vitamin_d_imputation	1	0	female_male_priority_male	1	joint_3	4	menopause_ordinal;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	
1	oestradiol	2	oestradiol_detection	2	1	female	2	unadjust	1	pregnancy	sex_y;sex_x;sex_text	
1	oestradiol	2	oestradiol_detection	2	1	female	2	joint_1	2	menopause_ordinal;oophorectomy;hysterectomy;pregnancies;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;alteration_sex_hormone	
1	oestradiol	2	oestradiol_detection	2	1	female	2	joint_2	3	menopause_ordinal;oophorectomy;hysterectomy;pregnancies;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;testosterone_imputation	
1	oestradiol	2	oestradiol_detection	2	1	female	2	joint_3	4	menopause_ordinal;oophorectomy;hysterectomy;pregnancies;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	
1	oestradiol	2	oestradiol_detection	2	1	female_menstruation_regular	3	unadjust	1	pregnancy	sex_y;sex_x;sex_text	
1	oestradiol	2	oestradiol_detection	2	1	female_menstruation_regular	3	joint_1	2	menstruation_phase_cycle;menopause_ordinal;oophorectomy;hysterectomy;pregnancies;menstruation_regular_range;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;alteration_sex_hormone	
1	oestradiol	2	oestradiol_detection	2	1	female_menstruation_regular	3	joint_2	3	menstruation_phase_cycle;menopause_ordinal;oophorectomy;hysterectomy;pregnancies;menstruation_regular_range;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;testosterone_imputation	
1	oestradiol	2	oestradiol_detection	2	1	female_menstruation_regular	3	joint_3	4	menstruation_phase_cycle;menopause_ordinal;oophorectomy;hysterectomy;pregnancies;menstruation_regular_range;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	
1	oestradiol	2	oestradiol_detection	2	1	female_premenopause	4	unadjust	1	pregnancy	sex_y;sex_x;sex_text	
1	oestradiol	2	oestradiol_detection	2	1	female_premenopause	4	joint_1	2	menstruation_phase_cycle;hysterectomy;pregnancies;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;alteration_sex_hormone	
