coding	meaning	node_id	parent_id	code	array	interpretation
-11	UKBiLEVEAX_b11	-11	1000	-11	bileve	bileve_11
-10	UKBiLEVEAX_b10	-10	1000	-10	bileve	bileve_10
-9	UKBiLEVEAX_b9	-9	1000	-9	bileve	bileve_9
-8	UKBiLEVEAX_b8	-8	1000	-8	bileve	bileve_8
-7	UKBiLEVEAX_b7	-7	1000	-7	bileve	bileve_7
-6	UKBiLEVEAX_b6	-6	1000	-6	bileve	bileve_6
-5	UKBiLEVEAX_b5	-5	1000	-5	bileve	bileve_5
-4	UKBiLEVEAX_b4	-4	1000	-4	bileve	bileve_4
-3	UKBiLEVEAX_b3	-3	1000	-3	bileve	bileve_3
-2	UKBiLEVEAX_b2	-2	1000	-2	bileve	bileve_2
-1	UKBiLEVEAX_b1	-1	1000	-1	bileve	bileve_1
1	Batch_b001	1	2000	1	axiom	axiom_1
2	Batch_b002	2	2000	2	axiom	axiom_2
3	Batch_b003	3	2000	3	axiom	axiom_3
4	Batch_b004	4	2000	4	axiom	axiom_4
5	Batch_b005	5	2000	5	axiom	axiom_5
6	Batch_b006	6	2000	6	axiom	axiom_6
7	Batch_b007	7	2000	7	axiom	axiom_7
8	Batch_b008	8	2000	8	axiom	axiom_8
9	Batch_b009	9	2000	9	axiom	axiom_9
10	Batch_b010	10	2000	10	axiom	axiom_10
11	Batch_b011	11	2000	11	axiom	axiom_11
12	Batch_b012	12	2000	12	axiom	axiom_12
13	Batch_b013	13	2000	13	axiom	axiom_13
14	Batch_b014	14	2000	14	axiom	axiom_14
15	Batch_b015	15	2000	15	axiom	axiom_15
16	Batch_b016	16	2000	16	axiom	axiom_16
17	Batch_b017	17	2000	17	axiom	axiom_17
18	Batch_b018	18	2000	18	axiom	axiom_18
19	Batch_b019	19	2000	19	axiom	axiom_19
20	Batch_b020	20	2000	20	axiom	axiom_20
21	Batch_b021	21	2000	21	axiom	axiom_21
22	Batch_b022	22	2000	22	axiom	axiom_22
23	Batch_b023	23	2000	23	axiom	axiom_23
24	Batch_b024	24	2000	24	axiom	axiom_24
25	Batch_b025	25	2000	25	axiom	axiom_25
26	Batch_b026	26	2000	26	axiom	axiom_26
27	Batch_b027	27	2000	27	axiom	axiom_27
28	Batch_b028	28	2000	28	axiom	axiom_28
29	Batch_b029	29	2000	29	axiom	axiom_29
30	Batch_b030	30	2000	30	axiom	axiom_30
31	Batch_b031	31	2000	31	axiom	axiom_31
32	Batch_b032	32	2000	32	axiom	axiom_32
33	Batch_b033	33	2000	33	axiom	axiom_33
34	Batch_b034	34	2000	34	axiom	axiom_34
35	Batch_b035	35	2000	35	axiom	axiom_35
36	Batch_b036	36	2000	36	axiom	axiom_36
37	Batch_b037	37	2000	37	axiom	axiom_37
38	Batch_b038	38	2000	38	axiom	axiom_38
39	Batch_b039	39	2000	39	axiom	axiom_39
40	Batch_b040	40	2000	40	axiom	axiom_40
41	Batch_b041	41	2000	41	axiom	axiom_41
42	Batch_b042	42	2000	42	axiom	axiom_42
43	Batch_b043	43	2000	43	axiom	axiom_43
44	Batch_b044	44	2000	44	axiom	axiom_44
45	Batch_b045	45	2000	45	axiom	axiom_45
46	Batch_b046	46	2000	46	axiom	axiom_46
47	Batch_b047	47	2000	47	axiom	axiom_47
48	Batch_b048	48	2000	48	axiom	axiom_48
49	Batch_b049	49	2000	49	axiom	axiom_49
50	Batch_b050	50	2000	50	axiom	axiom_50
51	Batch_b051	51	2000	51	axiom	axiom_51
52	Batch_b052	52	2000	52	axiom	axiom_52
53	Batch_b053	53	2000	53	axiom	axiom_53
54	Batch_b054	54	2000	54	axiom	axiom_54
55	Batch_b055	55	2000	55	axiom	axiom_55
56	Batch_b056	56	2000	56	axiom	axiom_56
57	Batch_b057	57	2000	57	axiom	axiom_57
58	Batch_b058	58	2000	58	axiom	axiom_58
59	Batch_b059	59	2000	59	axiom	axiom_59
60	Batch_b060	60	2000	60	axiom	axiom_60
61	Batch_b061	61	2000	61	axiom	axiom_61
62	Batch_b062	62	2000	62	axiom	axiom_62
63	Batch_b063	63	2000	63	axiom	axiom_63
64	Batch_b064	64	2000	64	axiom	axiom_64
65	Batch_b065	65	2000	65	axiom	axiom_65
66	Batch_b066	66	2000	66	axiom	axiom_66
