design	study_primary	study_secondary	summary_error	summary_interval	variants	correlation	standard_error	interval_95	confidence_95_range	probability	confidence_95_low	confidence_95_high	confidence_95_not_one	confidence_95_not_zero	correlation_absolute	cohort	model	phenotype_secondary
primaries_against_34255042_schmitz_2021	00000000_ripke_2022	34255042_schmitz_2021_female	0.0705 (0.0656)	(rg: 0.0705; 95% CI: -0.0581 ... 0.1991)	924423.0	0.0705	0.0656	0.128576	-0.0581 ... 0.1991	0.2823	-0.058076	0.19907599999999998	1.0	0.0	0.0705	female		
primaries_against_34255042_schmitz_2021	00000000_ripke_2022	34255042_schmitz_2021_male	-0.0006 (0.0403)	(rg: -0.0006; 95% CI: -0.0796 ... 0.0784)	924423.0	-0.0006	0.0403	0.078988	-0.0796 ... 0.0784	0.9883	-0.079588	0.078388	1.0	0.0	0.0006	male		
primaries_against_34255042_schmitz_2021	30482948_walters_2018_eur_unrel_genotype	34255042_schmitz_2021_female	-0.1145 (0.2386)	(rg: -0.1145; 95% CI: -0.5822 ... 0.3532)	921073.0	-0.1145	0.2386	0.467656	-0.5822 ... 0.3532	0.6314	-0.582156	0.353156	1.0	0.0	0.1145	female		
primaries_against_34255042_schmitz_2021	30482948_walters_2018_eur_unrel_genotype	34255042_schmitz_2021_male	0.15 (0.146)	(rg: 0.15; 95% CI: -0.1362 ... 0.4362)	921073.0	0.15	0.146	0.28615999999999997	-0.1362 ... 0.4362	0.3044	-0.13615999999999998	0.43616	1.0	0.0	0.15	male		
primaries_against_34255042_schmitz_2021	30482948_walters_2018_eur_unrel_meta	34255042_schmitz_2021_female	-0.2778 (0.2103)	(rg: -0.2778; 95% CI: -0.69 ... 0.1344)	924369.0	-0.2778	0.2103	0.41218799999999994	-0.69 ... 0.1344	0.1866	-0.6899879999999999	0.13438799999999995	1.0	0.0	0.2778	female		
primaries_against_34255042_schmitz_2021	30482948_walters_2018_eur_unrel_meta	34255042_schmitz_2021_male	0.1455 (0.1272)	(rg: 0.1455; 95% CI: -0.1038 ... 0.3948)	924369.0	0.1455	0.1272	0.249312	-0.1038 ... 0.3948	0.2528	-0.10381200000000002	0.394812	1.0	0.0	0.1455	male		
primaries_against_34255042_schmitz_2021	30482948_walters_2018_female	34255042_schmitz_2021_female	nan (nan)	(rg: nan; 95% CI: nan ... nan)	918458.0	nan	nan	nan	nan ... nan	nan	nan	nan	nan	nan	nan	female		
primaries_against_34255042_schmitz_2021	30482948_walters_2018_female	34255042_schmitz_2021_male	nan (nan)	(rg: nan; 95% CI: nan ... nan)	918458.0	nan	nan	nan	nan ... nan	nan	nan	nan	nan	nan	nan	male		
primaries_against_34255042_schmitz_2021	30482948_walters_2018_male	34255042_schmitz_2021_female	-0.1302 (0.2202)	(rg: -0.1302; 95% CI: -0.5618 ... 0.3014)	919972.0	-0.1302	0.2202	0.43159200000000003	-0.5618 ... 0.3014	0.5543	-0.5617920000000001	0.301392	1.0	0.0	0.1302	female		
primaries_against_34255042_schmitz_2021	30482948_walters_2018_male	34255042_schmitz_2021_male	0.2403 (0.1311)	(rg: 0.2403; 95% CI: -0.0167 ... 0.4973)	919972.0	0.2403	0.1311	0.25695599999999996	-0.0167 ... 0.4973	0.0668	-0.01665599999999995	0.497256	1.0	0.0	0.2403	male		
primaries_against_34255042_schmitz_2021	30643251_liu_2019_alcohol_all	34255042_schmitz_2021_female	-0.0874 (0.0844)	(rg: -0.0874; 95% CI: -0.2528 ... 0.078)	919909.0	-0.0874	0.0844	0.16542400000000002	-0.2528 ... 0.078	0.3001	-0.25282400000000005	0.07802400000000001	1.0	0.0	0.0874	female		
