code_ukbiobank	medication_name	medication_category	code_atc	group_atc	Category	Coding a	Medication ATC code	Drug name
2038460150	Acetaminophen	paracetamol	N02BE01		paracetamol	2038460150	N02BE01	Acetaminophen
1140868226	Acetylsalicylic Acid	aspirin	A01AD05 |B01AC06 |N02BA01		aspirin	1140868226	A01AD05 |B01AC06 |N02BA01	Acetylsalicylic Acid
1140871310	Ibuprofen	ibuprofen	C01EB16 |G02CC01 |M01AE01 |M02AA13 |R02AX02		ibuprofen	1140871310	C01EB16 |G02CC01 |M01AE01 |M02AA13 |R02AX02	Ibuprofen
1140861958	Simvastatin	simvastatin	C10AA01		simvastatin	1140861958	C10AA01	Simvastatin
1141188442	Glucosamine	glucosamine product	M01AX05		glucosamine product	1141188442	M01AX05	Glucosamine
1140865634	Omeprazole	omeprazole	A02BC01		omeprazole	1140865634	A02BC01	Omeprazole
1140909674	Cod Liver Oil	cod liver oil capsule	A11CB		cod liver oil capsule	1140909674	A11CB	Cod Liver Oil
1141194794	Bendroflumethiazide	bendroflumethiazide	C03AA01		bendroflumethiazide	1141194794	C03AA01	Bendroflumethiazide
1140860806	Ramipril	ramipril	C09AA05		ramipril	1140860806	C09AA05	Ramipril
1140879802	Amlodipine	amlodipine	C08CA01		amlodipine	1140879802	C08CA01	Amlodipine
1141191044	Levothyroxine	levothyroxine sodium	H03AA01		levothyroxine sodium	1141191044	H03AA01	Levothyroxine
1140866738	Atenolol	atenolol	C07AB03		atenolol	1140866738	C07AB03	Atenolol
1193	Fish Oil	omega-3/fish oil supplement	C10AX06		omega-3/fish oil supplement	1193	C10AX06	Fish Oil
1140864752	Lansoprazole	lansoprazole	A02BC03		lansoprazole	1140864752	A02BC03	Lansoprazole
1141146234	Atorvastatin	atorvastatin	C10AA05		atorvastatin	1141146234	C10AA05	Atorvastatin
1140852976	Multivitamin	multivitamins	A11BA		multivitamins	1140852976	A11BA	Multivitamin
